,Kicker Name,Team,Opponent,Home/Away,Stadium,Stadium Type,Fantasy Points,Wind,,,,,,,,,,
1,Younghoe Koo,ATL,NO,Home,Mercedes-Benz Stadium,Indoors,18,2,,,,,,,,Team,Stadium Name,Stadium Type
1,Cade York,CLE,CAR,Away,Bank of America Stadium,Outdoors,16,9,,,,,,,,ARI,State Farm Stadium,Indoors
1,Chris Boswell,PIT,CIN,Away,Paycor Stadium,Outdoors,13,4,,,,,,,,ATL,Mercedes-Benz Stadium,Indoors
1,Greg Joseph,MIN,GB,Home,U.S. Bank Stadium,Indoors,13,5,,,,,,,,BAL,M&T Bank Stadium,Outdoors
1,Ryan Succop,TB,DAL,Away,AT&T Stadium,Indoors,13,6,,,,,,,,BUF,Highmark Stadium,Outdoors
1,Riley Patterson,JAX,WAS,Away,Commanders Field,Outdoors,10,5,,,,,,,,CAR,Bank of America Stadium,Outdoors
1,Brandon McManus,DEN,SEA,Away,Lumen Field,Outdoors,10,4,,,,,,,,CHI,Soldier Field,Outdoors
1,Wil Lutz,NO,ATL,Away,Mercedes-Benz Stadium,Indoors,9,2,,,,,,,,CIN,Paycor Stadium,Outdoors
1,Harrison Butker,KC,ARI,Away,State Farm Stadium,Indoors,9,3,,,,,,,,CLE,Cleveland Browns Stadium,Outdoors
1,Daniel Carlson,LV,LAC,Away,SoFi Stadium,Indoors,9,7,,,,,,,,DAL,AT&T Stadium,Indoors
1,Jake Elliott,PHI,DET,Away,Ford Field,Indoors,8,8,,,,,,,,DEN,Empower Field at Mile High,Outdoors
1,Evan McPherson,CIN,PIT,Home,Paycor Stadium,Outdoors,8,4,,,,,,,,DET,Ford Field,Indoors
1,Randy Bullock,TEN,NYG,Home,Nissan Stadium,Outdoors,8,6,,,,,,,,GB,Lambeau Field,Outdoors
1,Rodrigo Blankenship,IND,HOU,Away,NRG Stadium,Indoors,8,8,,,,,,,,HOU,NRG Stadium,Indoors
1,Jason Sanders,MIA,NE,Home,Hard Rock Stadium,Outdoors,8,10,,,,,,,,IND,Lucas Oil Stadium,Indoors
1,Ka'imi Fairbairn,HOU,IND,Home,NRG Stadium,Indoors,8,8,,,,,,,,JAX,TIAA Bank Field,Outdoors
1,Tyler Bass,BUF,LAR,Home,Highmark Stadium,Outdoors,7,7,,,,,,,,KC,GEHA Field at Arrowhead Stadium,Outdoors
1,Eddy Piñeiro,CAR,CLE,Home,Bank of America Stadium,Outdoors,6,9,,,,,,,,LV,Allegiant Stadium,Indoors
1,Dustin Hopkins,LAC,LV,Home,SoFi Stadium,Indoors,6,7,,,,,,,,LAC,SoFi Stadium,Indoors
1,Justin Tucker,BAL,NYJ,Away,MetLife Stadium,Outdoors,6,3,,,,,,,,LAR,SoFi Stadium,Indoors
1,Matt Gay,LAR,BUF,Away,Highmark Stadium,Outdoors,6,7,,,,,,,,MIA,Hard Rock Stadium,Outdoors
1,Jason Myers,SEA,DEN,Home,Lumen Field,Outdoors,5,4,,,,,,,,MIN,U.S. Bank Stadium,Indoors
1,Austin Seibert,DET,PHI,Home,Ford Field,Indoors,5,8,,,,,,,,NE,Gillette Stadium,Outdoors
1,Brett Maher,DAL,TB,Home,AT&T Stadium,Indoors,5,6,,,,,,,,NO,Caesars Superdome,Indoors
1,Robbie Gould,SF,CHI,Away,Soldier Field,Outdoors,4,9,,,,,,,,NYG,MetLife Stadium,Outdoors
1,Greg Zuerlein,NYJ,BAL,Home,MetLife Stadium,Outdoors,3,3,,,,,,,,NYJ,MetLife Stadium,Outdoors
1,Joey Slye,WAS,JAX,Home,Commanders Field,Outdoors,2,5,,,,,,,,PHI,Lincoln Financial Field,Outdoors
1,Graham Gano,NYG,TEN,Away,Nissan Stadium,Outdoors,1,6,,,,,,,,PIT,Acrisure Stadium,Outdoors
1,Nick Folk,NE,MIA,Away,Hard Rock Stadium,Outdoors,1,10,,,,,,,,SF,Levi's Stadium,Outdoors
1,Cairo Santos,CHI,SF,Home,Soldier Field,Outdoors,1,9,,,,,,,,SEA,Lumen Field,Outdoors
1,Mason Crosby,GB,MIN,Away,U.S. Bank Stadium,Indoors,1,5,,,,,,,,TB,Raymond James Stadium,Outdoors
1,Matt Prater,ARI,KC,Home,State Farm Stadium,Indoors,1,3,,,,,,,,TEN,Nissan Stadium,Outdoors
2,Graham Gano,NYG,CAR,Home,MetLife Stadium,Outdoors,17,10,,,,,,,,WAS,Commanders Field,Outdoors
2,Daniel Carlson,LV,ARI,Home,Allegiant Stadium,Indoors,13,10,,,,,,,,,,
2,Brandon McManus,DEN,HOU,Home,Empower Field at Mile High,Outdoors,12,6,,,,,,,,,,
2,Brett Maher,DAL,CIN,Home,AT&T Stadium,Indoors,12,7,,,,,,,,,,
2,Evan McPherson,CIN,DAL,Away,AT&T Stadium,Indoors,11,7,,,,,,,,,,
2,Tyler Bass,BUF,TEN,Home,Highmark Stadium,Outdoors,11,10,,,,,,,,,,
2,Eddy Piñeiro,CAR,NYG,Away,MetLife Stadium,Outdoors,10,10,,,,,,,,,,
2,Austin Seibert,DET,WAS,Home,Ford Field,Indoors,10,11,,,,,,,,,,
2,Justin Tucker,BAL,MIA,Home,M&T Bank Stadium,Outdoors,10,6,,,,,,,,,,
2,Ka'imi Fairbairn,HOU,DEN,Away,Empower Field at Mile High,Outdoors,9,6,,,,,,,,,,
2,Mason Crosby,GB,CHI,Home,Lambeau Field,Outdoors,9,6,,,,,,,,,,
2,Robbie Gould,SF,SEA,Home,Levi's Stadium,Outdoors,9,13,,,,,,,,,,
2,Greg Zuerlein,NYJ,CLE,Away,Cleveland Browns Stadium,Outdoors,9,11,,,,,,,,,,
2,Matt Ammendola,KC,LAC,Home,GEHA Field at Arrowhead Stadium,Outdoors,9,8,,,,,,,,,,
2,Ryan Succop,TB,NO,Away,Caesars Superdome,Indoors,8,5,,,,,,,,,,
2,Chris Boswell,PIT,NE,Home,Acrisure Stadium,Outdoors,8,3,,,,,,,,,,
2,Riley Patterson,JAX,IND,Home,TIAA Bank Field,Outdoors,8,6,,,,,,,,,,
2,Matt Gay,LAR,ATL,Home,SoFi Stadium,Indoors,7,7,,,,,,,,,,
2,Jake Elliott,PHI,MIN,Home,Lincoln Financial Field,Outdoors,6,3,,,,,,,,,,
2,Jason Sanders,MIA,BAL,Away,M&T Bank Stadium,Outdoors,6,6,,,,,,,,,,
2,Dustin Hopkins,LAC,KC,Away,GEHA Field at Arrowhead Stadium,Outdoors,6,8,,,,,,,,,,
2,Cade York,CLE,NYJ,Home,Cleveland Browns Stadium,Outdoors,6,11,,,,,,,,,,
2,Nick Folk,NE,PIT,Away,Acrisure Stadium,Outdoors,5,3,,,,,,,,,,
2,Younghoe Koo,ATL,LAR,Away,SoFi Stadium,Indoors,5,7,,,,,,,,,,
2,Cairo Santos,CHI,GB,Away,Lambeau Field,Outdoors,4,6,,,,,,,,,,
2,Wil Lutz,NO,TB,Home,Caesars Superdome,Indoors,4,5,,,,,,,,,,
2,Joey Slye,WAS,DET,Away,Ford Field,Indoors,1,11,,,,,,,,,,
2,Greg Joseph,MIN,PHI,Away,Lincoln Financial Field,Outdoors,1,3,,,,,,,,,,
2,Matt Prater,ARI,LV,Away,Allegiant Stadium,Indoors,1,10,,,,,,,,,,
2,Randy Bullock,TEN,BUF,Away,Highmark Stadium,Outdoors,1,10,,,,,,,,,,
2,Jason Myers,SEA,SF,Away,Levi's Stadium,Outdoors,1,13,,,,,,,,,,
2,Chase McLaughlin,IND,JAX,Away,TIAA Bank Field,Outdoors,0,6,,,,,,,,,,
3,Brett Maher,DAL,NYG,Away,MetLife Stadium,Outdoors,11,7,,,,,,,,,,
3,Younghoe Koo,ATL,SEA,Away,Lumen Field,Outdoors,11,6,,,,,,,,,,
3,Jason Myers,SEA,ATL,Home,Lumen Field,Outdoors,11,6,,,,,,,,,,
3,Nick Folk,NE,BAL,Home,Gillette Stadium,Outdoors,10,8,,,,,,,,,,
3,Chase McLaughlin,IND,KC,Home,Lucas Oil Stadium,Indoors,10,13,,,,,,,,,,
3,Daniel Carlson,LV,TEN,Away,Nissan Stadium,Outdoors,10,9,,,,,,,,,,
3,Eddy Piñeiro,CAR,NO,Home,Bank of America Stadium,Outdoors,10,6,,,,,,,,,,
3,Evan McPherson,CIN,NYJ,Away,MetLife Stadium,Outdoors,9,8,,,,,,,,,,
3,Justin Tucker,BAL,NE,Away,Gillette Stadium,Outdoors,9,8,,,,,,,,,,
3,Matt Prater,ARI,LAR,Home,State Farm Stadium,Indoors,12,3,,,,,,,,,,
3,Matt Gay,LAR,ARI,Away,State Farm Stadium,Indoors,8,3,,,,,,,,,,
3,Ka'imi Fairbairn,HOU,CHI,Away,Soldier Field,Outdoors,8,11,,,,,,,,,,
3,Randy Bullock,TEN,LV,Home,Nissan Stadium,Outdoors,6,9,,,,,,,,,,
3,Robbie Gould,SF,DEN,Away,Empower Field at Mile High,Outdoors,6,6,,,,,,,,,,
3,Ryan Succop,TB,GB,Home,Raymond James Stadium,Outdoors,6,4,,,,,,,,,,
3,Austin Seibert,DET,MIN,Away,U.S. Bank Stadium,Indoors,6,9,,,,,,,,,,
